icd_code,icd_description
A09,"Infectious gastroenteritis and colitis, unspecified"
B34.9,"Viral infection, unspecified"
C50.911,Malignant neoplasm of unspecified site of right female breast
D64.9,"Anemia, unspecified"
E03.9,"Hypothyroidism, unspecified"
E11.9,Type 2 diabetes mellitus without complications
E66.9,"Obesity, unspecified"
F32.9,"Major depressive disorder, single episode, unspecified"
F41.1,Generalized anxiety disorder
G43.909,"Migraine, unspecified, not intractable, without status migrainosus"
G47.33,Obstructive sleep apnea (adult) (pediatric)
I10,Essential (primary) hypertension
I25.10,Atherosclerotic heart disease of native coronary artery
I48.91,Unspecified atrial fibrillation
I50.9,"Heart failure, unspecified"
J06.9,"Acute upper respiratory infection, unspecified"
J18.9,"Pneumonia, unspecified organism"
J44.9,"Chronic obstructive pulmonary disease, unspecified"
J45.909,"Unspecified asthma, uncomplicated"
K21.9,Gastro-esophageal reflux disease without esophagitis
K29.70,"Gastritis, unspecified, without bleeding"
K35.80,Unspecified acute appendicitis
K59.00,"Constipation, unspecified"
L03.90,"Cellulitis, unspecified"
M15.9,"Polyosteoarthritis, unspecified"
M25.50,Pain in unspecified joint
M54.5,Low back pain
M79.1,Myalgia
N18.9,"Chronic kidney disease, unspecified"
N39.0,"Urinary tract infection, site not specified"
R05.9,"Cough, unspecified"
R07.9,"Chest pain, unspecified"
R10.9,Unspecified abdominal pain
R11.10,"Vomiting, unspecified"
R42,Dizziness and giddiness
R50.9,"Fever, unspecified"
R51.9,"Headache, unspecified"
R53.83,Other fatigue
S06.0X0A,"Concussion without loss of consciousness, initial encounter"
S93.401A,"Sprain of unspecified ligament of right ankle, initial encounter"
T78.40XA,"Allergy, unspecified, initial encounter"
Z00.00,Encounter for general adult medical examination without abnormal findings
Z23,Encounter for immunization
Z79.4,Long term (current) use of insulin
E78.5,"Hyperlipidemia, unspecified"
F17.210,"Nicotine dependence, cigarettes, uncomplicated"
H52.4,Presbyopia
H10.9,Unspecified conjunctivitis
H66.90,"Otitis media, unspecified, unspecified ear"
J01.90,"Acute sinusitis, unspecified"
J02.9,"Acute pharyngitis, unspecified"
J03.90,"Acute tonsillitis, unspecified"
J20.9,"Acute bronchitis, unspecified"
K52.9,"Noninfective gastroenteritis and colitis, unspecified"
K80.20,Calculus of gallbladder without cholecystitis without obstruction
L20.9,"Atopic dermatitis, unspecified"
L30.9,"Dermatitis, unspecified"
M17.9,"Osteoarthritis of knee, unspecified"
M19.90,"Osteoarthritis, unspecified site"
M25.511,Pain in right shoulder
M25.512,Pain in left shoulder
M25.561,Pain in right knee
M25.562,Pain in left knee
M54.2,Cervicalgia
M54.9,"Dorsalgia, unspecified"
N40.0,Benign prostatic hyperplasia without lower urinary tract symptoms
O80,Encounter for full-term uncomplicated delivery
R00.0,"Tachycardia, unspecified"
R06.02,Shortness of breath
R19.7,"Diarrhea, unspecified"
R21,Rash and other nonspecific skin eruption
R41.0,"Disorientation, unspecified"
R55,Syncope and collapse
R60.9,"Edema, unspecified"
S00.83XA,"Contusion of other part of head, initial encounter"
S61.409A,"Unspecified open wound of right hand, initial encounter"
T14.90XA,"Injury, unspecified, initial encounter"
Z00.129,Encounter for routine child health examination without abnormal findings
Z01.419,Encounter for gynecological examination without abnormal findings
Z12.11,Encounter for screening for malignant neoplasm of colon
Z12.31,Encounter for screening mammogram for malignant neoplasm of breast
Z13.220,Encounter for screening for lipoid disorders
Z34.90,"Encounter for supervision of normal pregnancy, unspecified trimester"
Z71.3,Dietary counseling and surveillance
Z76.89,Persons encountering health services in other specified circumstances
Z79.899,Other long term (current) drug therapy
Z86.73,"Personal history of transient ischemic attack, and cerebral infarction without residual deficits"
Z87.891,Personal history of nicotine dependence
